id,address,address2,tel,fax,update_status,category,prefecture,district,pic_appearance,pic_map,type,lat,lng
﻿90,พรอมิสสาขาอุบลราชธานี,"อาคารสินราชบุตรเลขที่47ชั้น1 (ห้อง102-103)ถนนราชบุตรต.ในเมืองอ.เมืองจ.อุบลราชธานี34000","045-250-099, 045-250-100",045-243-717,No,"สาขา และจุดให้บริการต่างจังหวัด",กรุงเทพมหานคร,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promiseubonratchathani.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promiseubonratchathani.jpg,Branch,15.226666,104.858558
﻿89,อุบลราชธานี2,ถ.ธรรมวิถีข้างธ.กสิกรไทย(ตลาดนิกรธานี),,,,"สาขา และจุดให้บริการต่างจังหวัด",อุบลราชธานี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_ubonratchathani.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ubonratchathani.jpg,Servicepoint,15.269709,104.83932
﻿88,โลตัสยูดีทาวน์,"ติดร้านดังกิ้นโดนัท(Dunkin Donut)",,,,"สาขา และจุดให้บริการต่างจังหวัด",อุดรธานี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_lotusudtown.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_lotusudtown.jpg,Servicepoint,17.401793,102.804765
﻿87,พรอมิสสาขาอุดรธานี,ถ.ประจักษ์เยื้องโรงเรียนอุดรวิทยา(รร.จีน),,,,"สาขา และจุดให้บริการต่างจังหวัด",อุดรธานี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_udonthani.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_udonthani.jpg,Servicepoint,17.406249,102.795311
﻿86,บิ๊กซีอุดรธานี,ชั้น1ข้างร้านทรีบอรดแบรนด์(3BB),,,,"สาขา และจุดให้บริการต่างจังหวัด",อุดรธานี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_cthani.jpg,Servicepoint,17.3866,102.824
﻿85,อยุธยาปาร์ค,"ชั้น1ข้างธ.ก.ส. (BAAC)",,,,"สาขา และจุดให้บริการต่างจังหวัด",อยุธยา,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_ayutthayapark.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ayutthayapark.jpg,Servicepoint,14.335437,100.61092
﻿80,ห้างทวีกิจสระบุรี,"ชั้น 1 ใกล้ทางเข้าบิ๊กซี (Big C)",,,No,"สาขา และจุดให้บริการต่างจังหวัด",กรุงเทพมหานคร,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_thaveekitsaraburi.jpg,Servicepoint,14.523245,100.917936
﻿81,พรอมิสสาขาสุพรรณบุรี,ถ.มาลัยแมนข้างแสนรักษ์รักษาสัตว์(ทางไปหอนาฬิกาบรรหาร-แจ่มใส),,,No,"สาขา และจุดให้บริการต่างจังหวัด",กรุงเทพมหานคร,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisesuphanburi.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisesuphanburi.jpg,Servicepoint,14.48044,100.127223
﻿82,บิ๊กซีสุราษฎร์ธานี,ชั้น1หน้าศูนย์อาหาร,,,,"สาขา และจุดให้บริการต่างจังหวัด",สุราษฎร์ธานี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_bigsurat.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigsurat.jpg,Servicepoint,9.14819,99.3699
﻿83,พรอมิสสาขาสุราษฎร์ธานี,ถนนชนเกษม(เยื้องธนาคารยูโอบี),,,,"สาขา และจุดให้บริการต่างจังหวัด",สุราษฎร์ธานี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisesurat.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisesurat.jpg,Servicepoint,9.139989,99.328332
﻿84,บิ๊กซีสุรินทร์,ชั้น1ตรงข้ามร้านเคเอฟซี(KFC),,,,"สาขา และจุดให้บริการต่างจังหวัด",สุรินทร์,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcsurin.jpg,Servicepoint,14.8723,103.51
﻿66,รอมิสสาขาร้อยเอ็ด,เลขที่56/6ถ.เทวาภิบาลต.ในเมืองอ.ร้อยเอ็ดจ.ร้อยเอ็ด45000,043-515-727,043-515-211,,"สาขา และจุดให้บริการต่างจังหวัด",ร้อยเอ็ด,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisemajorroiet.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisemajorroiet.jpg,Branch,16.057909,103.631157
﻿55,บิ๊กซีนครศรีธรรมราช,ข้างทางเข้าลานจอดรถบิ๊กซีซุปเปอร์มาร์เก็ต,,,,"สาขา และจุดให้บริการต่างจังหวัด",นครศรีธรรมราช,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_nakhonsithammarat.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_nakhonsithammarat.jpg,Servicepoint,8.441263,99.963134
﻿65,ห้างเสริมไทยคอมเพล็กซ์(มหาสารคาม),ชั้น1หน้าโลตัสซุปเปอร์มาร์เก็ต,,,,"สาขา และจุดให้บริการต่างจังหวัด",มหาสารคาม,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_mahasarakham.jpg,Servicepoint,16.201523,103.27677
﻿67,ซีเคพลาซ่า(ระยอง),ชั้น1หน้าประตูเข้า-ออกฝั่งบิ๊กซี,,,,"สาขา และจุดให้บริการต่างจังหวัด",ระยอง,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ckplaza.jpg,Servicepoint,12.984046,101.211958
﻿68,แหลมทองระยอง,ชั้น2ติดร้านกล้องถ่ายรูปข้างบันไดเลื่อนลง,,,,"สาขา และจุดให้บริการต่างจังหวัด",ระยอง,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_peninsulabangkok.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_peninsulabangkok.jpg,Servicepoint,12.68257642,101.2425408
﻿64,บิ๊กซีภูเก็ต,ชั้น1หน้าเคเอฟซี(KFC)ตรงประตูทางเข้าห้างฯ,,,,"สาขา และจุดให้บริการต่างจังหวัด",ภูเก็ต,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_bigcphuket.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcphuket.jpg,Servicepoint,7.8959,98.3674
﻿63,บิ๊กซีพิษณุโลก,ชั้น2ตรงข้ามธนาคารกรุงเทพ,,,,"สาขา และจุดให้บริการต่างจังหวัด",พิษณุโลก,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigphitsanulok.jpg,Servicepoint,16.81580768,100.2896565
﻿79,บิ๊กซีสระแก้ว,ข้างร้านดีแทค,,,,"สาขา และจุดให้บริการต่างจังหวัด",สระแก้ว,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_csakaeo.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_csakaeo.jpg,Servicepoint,13.81166,102.077149
﻿62,บิ๊กซีเพชรบูรณ์,เยื้องร้านดีแทค(DTAC),,,,"สาขา และจุดให้บริการต่างจังหวัด",เพชรบูรณ์,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_cphetchabun.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_cphetchabun.jpg,Servicepoint,16.39276,101.13233
﻿78,บิ๊กซีสมุทรสาคร(มหาชัย),ชั้น1ข้างร้านยาโยอิ(Yayoi),,,,"สาขา และจุดให้บริการต่างจังหวัด",สมุทรสาคร,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_csakhon.jpg,Servicepoint,13.5652,100.2726
﻿77,บิ๊กซีหาดใหญ่,"ชั้น1หน้ามิสเตอร์โดนัท(Mister Donut)",,,,"สาขา และจุดให้บริการต่างจังหวัด",สงขลา,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bighat.jpg,Servicepoint,7.03824,100.468
﻿61,บิ๊กซีเพชรบุรี,ชั้น1หน้าประตูเข้า-ออกห้างระหว่างเจมาร์ท(J-Mart)และเอสแอนด์พี(S&P),,,,"สาขา และจุดให้บริการต่างจังหวัด",เพชรบุรี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ckanchanaburi.jpg,Servicepoint,13.079,99.9482
﻿60,พรอมิสสาขาปราจีนบุรี,"ตรงข้ามนิคมอุตสาหกรรม304 (ข้างตลาด304)",,,,"สาขา และจุดให้บริการต่างจังหวัด",ปราจีนบุรี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promiseprachinburi.jpg,Servicepoint,13.917274,101.573278
﻿76,ถนนเพชร์เกษมเยื้องห้างสยามนครินทร์,"489/17-489/18 ถ.เพชรเกษมต.หาดใหญ่อ.หาดใหญ่จ.สงขลา90110",,,,"สาขา และจุดให้บริการต่างจังหวัด",สงขลา,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_presidentbush.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_presidentbush.jpg,Servicepoint,7.003314,100.491775
﻿59,พรอมิสสาขาหัวหิน,ข้างธนาคารธอส.ระหว่างซอยหัวหิน80และ82,,,,"สาขา และจุดให้บริการต่างจังหวัด",ประจวบคีรีขันธ์,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisehuahin.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisehuahin.jpg,Servicepoint,12.565308,99.959093
﻿75,บิ๊กซีสกลนคร,ตรงข้ามจุดชำระค่าสินค้าบิ๊กซี(ฝั่งธนาคารกรุงเทพ),,,,"สาขา และจุดให้บริการต่างจังหวัด",สกลนคร,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_sakonc.jpg,Servicepoint,17.15965366,104.149425
﻿74,พรอมิสสาขาศรีสะเกษ,เลขที่1199/2ถ.วิจิตรนครต.เมืองเหนืออ.เมืองจ.ศรีสะเกษ33000,045-643-656,045-643-649,,"สาขา และจุดให้บริการต่างจังหวัด",ศรีสะเกษ,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisesaket.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisesaket.jpg,Branch,15.118865,104.333183
﻿58,เทสโก้โลตัสนวนคร,ชั้น1ตรงข้ามสปอร์ตโดม,,,,"สาขา และจุดให้บริการต่างจังหวัด",ปทุมธานี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_tesconava.jpg,Servicepoint,14.12042,100.617179
﻿73,บิ๊กซีลำพูน,ชั้น1หน้าร้านเอ็มเค(MK),,,,"สาขา และจุดให้บริการต่างจังหวัด",ลำพูน,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_clamphun.jpg,Servicepoint,18.591,99.0412
﻿57,บิ๊กซีบุรีรัมย์,"หน้าร้านมิสเตอร์โดนัท(Mister Donut)",,,,"สาขา และจุดให้บริการต่างจังหวัด",บุรีรัมย์,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcram.jpg,Servicepoint,14.96988141,103.0818377
﻿56,บิ๊กซีนครสวรรค์(วีสแควร์พลาซ่า),ชั้น2ตรงข้ามห้างทองโต๊ะกัง,,,,"สาขา และจุดให้บริการต่างจังหวัด",นครสวรรค์,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcnakhonsawa.jpg,Servicepoint,15.69505684,100.1213855
﻿72,บิ๊กซีลำปาง,ชั้น2ตรงข้ามร้านบิ๊กคาเมร่า,,,,"สาขา และจุดให้บริการต่างจังหวัด",ลำปาง,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigclampang.jpg,Servicepoint,18.2755,99.4812
﻿71,บิ๊กซีเลย,หน้าร้านเคเอฟซี(KFC),,,,"สาขา และจุดให้บริการต่างจังหวัด",เลย,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcs.jpg,Servicepoint,17.462905,101.72789
﻿70,บิ๊กซีลพบุรี,ชั้น1เยื้องบันไดเลื่อนลงจากซุปเปอร์มาร์เก็ต,,,,"สาขา และจุดให้บริการต่างจังหวัด",ลพบุรี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigclopburi.jpg,Servicepoint,14.7946,100.672
﻿69,บิ๊กซีราชบุรี,"ชั้น1หน้ามิสเตอร์โดนัท(Mister Donut)",,,,"สาขา และจุดให้บริการต่างจังหวัด",ราชบุรี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcratchaburi.jpg,Servicepoint,13.5506,99.8231
﻿54,ห้างสหไทยพลาซ่า,ชั้น2เยื้องทีโอที(TOT),,,,"สาขา และจุดให้บริการต่างจังหวัด",นครศรีธรรมราช,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_unitedthailandplazamall.jpg,Servicepoint,8.160437,99.675694
﻿42,บิ๊กซีจันทบุรี,"ชั้น2ข้างบันไดเลื่อนหน้าโรงภาพยนตร์เมเจอร์(Major Cineplex)",,,,"สาขา และจุดให้บริการต่างจังหวัด",จันทบุรี,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_chanthaburi.jpg,Servicepoint,12.59817,102.09929
﻿41,พรอมิสสาขาขอนแก่น,เลขที่552/5ถนนหน้าเมืองต.ในเมืองอ.เมืองจ.ขอนแก่น40000,043-220-666,043-226-232,,"สาขา และจุดให้บริการต่างจังหวัด",ขอนแก่น,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_promisekhonkaen.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_promisekhonkaen.jpg,Branch,16.423252,102.833193
﻿40,บิ๊กซีขอนแก่น,ชั้น2เยื้องจุดบริการลูกค้าบิ๊กซี,,,,"สาขา และจุดให้บริการต่างจังหวัด",ขอนแก่น,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigcthailand.jpg,Servicepoint,16.42476539,102.8190064
﻿39,บิ๊กซีกำแพงเพชร,ชั้น2ข้างบันไดเลื่อน(ฝั่งธนาคารออมสิน),,,,"สาขา และจุดให้บริการต่างจังหวัด",กำแพงเพชร,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ckamphaengphet.jpg,Servicepoint,16.4741,99.5411
﻿38,บิ๊กซีกาญจนบุรี,ติดร้านไปรษณีย์,,,,"สาขา และจุดให้บริการต่างจังหวัด",กาญจนบุรี,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/pic_ckanchanaburi.jpg,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_ckanchanaburi.jpg,Servicepoint,14.048168,99.507695
﻿37,อิมพีเรียลเวิลด์สำโรง,"ชั้นใต้ดินข้างร้านพิซซ่า(The Pizza",,,,"จุดให้บริการในกรุงเทพฯ และปริมณฑล",สมุทรปราการ,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_imperialworldsamrong.jpg,Servicepoint,13.649917,100.596763
﻿36,บิ๊กซีสมุทรปราการ,ชั้น1ประตูทางเข้าหน้าธนาคารไทยพาณิชย์,,,,"จุดให้บริการในกรุงเทพฯ และปริมณฑล",สมุทรปราการ,,,http://localhost.promise_cms/cms/wp-content/uploads/2015/11/map_bigbangoverseas.jpg,Servicepoint,13.584328,100.607022
